0,CombatZoneResize,239,226,404,391,TLResume,,,
0,HeartTeleport,320,304,,,,,,
0,HeartMode,0,,,,,,,
0,TLPause,,,,,,,,
0,SET,Loop,5,,,,,,
0,:RndAttack,,,,,,,,
0,BlackScreen,1,,,,,,,
0,Sound,Flash,,,,,,,
0.13333,BlackScreen,0,,,,,,,
0,Sound,Flash,,,,,,,
0,JMPZ,End,$Loop,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0,RND,Jump,9,,,,,,
0,ADD,Jump,$Jump,1,,,,,
0,JMPREL,$Jump,,,,,,,
0,JMPABS,Attack0,,,,,,,
0,JMPABS,Attack1,,,,,,,
0,JMPABS,Attack2,,,,,,,
0,JMPABS,Attack3,,,,,,,
0,JMPABS,Attack4,,,,,,,
0,JMPABS,Attack5,,,,,,,
0,JMPABS,Attack6,,,,,,,
0,JMPABS,Attack7,,,,,,,
0,JMPABS,Attack8,,,,,,,
0,:Attack0,,,,,,,,
0,CombatZoneResizeInstant,121,276,526,391,,,,
0,HeartMode,1,,,,,,,
0,HeartTeleport,320,376,,,,,,
0,BoneVRepeat,128,341,45,0,240,4,16,
0,BoneV,64,286,100,0,240,,,
0,BoneVRepeat,512,341,45,2,240,4,16,
0,BoneV,576,286,100,2,240,,,
0.9,JMPABS,RndAttack,,,,,,,
0,:Attack1,,,,,,,,
0,CombatZoneResizeInstant,121,276,526,391,,,,
0,HeartMode,1,,,,,,,
0,HeartTeleport,320,376,,,,,,
0,BoneV,128,286,100,0,240,1,,
0,BoneV,56,366,20,0,240,0,,
0,BoneV,24,286,100,0,240,0,,
0,BoneV,512,286,100,2,240,1,,
0,BoneV,584,366,20,2,240,0,,
0,BoneV,616,286,100,2,240,0,,
1.1,JMPABS,RndAttack,,,,,,,
0,:Attack2,,,,,,,,
0,CombatZoneResizeInstant,171,276,476,391,,,,
0,HeartMode,1,,,,,,,
0,HeartTeleport,320,376,,,,,,
0,SET,Total,0,,,,,,
0,SET,Loop2,0,,,,,,
0,:Attack2Begin,,,,,,,,
0,RND,Choice,3,,,,,,
0,ADD,HeightB,$Choice,2,,,,,
0,MUL,HeightB,$HeightB,10,,,,,
0,SET,RndSpeed,0,,,,,,
0,JMPZ,SkipRndSpeed,$Loop2,,,,,,
0,RND,RndSpeed,3,,,,,,
0,SUB,RndSpeed,$RndSpeed,1,,,,,
0,MUL,RndSpeed,$RndSpeed,2,,,,,
0,:SkipRndSpeed,,,,,,,,
0,SUB,HeightT,86,$HeightB,,,,,
0,SUB,YB,386,$HeightB,,,,,
0,MUL,X,$Loop2,22,,,,,
0,ADD,X,$X,25,,,,,
0,ADD,X,$X,$Total,,,,,
0,ADD,SpeedL,6,$RndSpeed,,,,,
0,MUL,XL,$X,$SpeedL,,,,,
0,SUB,XL,320,$XL,,,,,
0,MUL,SpeedL,$SpeedL,30,,,,,
0,MUL,RndSpeed,$RndSpeed,-1,,,,,
0,ADD,SpeedR,6,$RndSpeed,,,,,
0,MUL,XR,$X,$SpeedR,,,,,
0,ADD,XR,320,$XR,,,,,
0,MUL,SpeedR,$SpeedR,30,,,,,
0,BoneV,$XL,282,$HeightT,0,$SpeedL,,,
0,BoneV,$XL,$YB,$HeightB,0,$SpeedL,,,
0,BoneV,$XR,282,$HeightT,2,$SpeedR,,,
0,BoneV,$XR,$YB,$HeightB,2,$SpeedR,,,
0,MUL,TotalInc,$Choice,5,,,,,
0,ADD,Total,$Total,$TotalInc,,,,,
0,ADD,Loop2,$Loop2,1,,,,,
0,JMPL,Attack2Begin,$Loop2,4,,,,,
1.9,JMPABS,RndAttack,,,,,,,
0,:Attack3,,,,,,,,
0,CombatZoneResizeInstant,171,276,476,391,,,,
0,HeartMode,1,,,,,,,
0,HeartTeleport,320,376,,,,,,
0,BoneVRepeat,200,282,70,0,150,3,125,
0,BoneVRepeat,200,371,15,0,150,3,125,
0,BoneVRepeat,440,282,70,2,150,3,125,
0,BoneVRepeat,440,371,15,2,150,3,125,
1.7,JMPABS,RndAttack,,,,,,,
0,:Attack4,,,,,,,,
0,CombatZoneResizeInstant,121,276,526,391,,,,
0,HeartMode,1,,,,,,,
0,RND,Side,2,,,,,,
0,JMPZ,Attack4Other,$Side,,,,,,
0,HeartTeleport,506,376,,,,,,
0,BoneVRepeat,200,331,55,0,360,11,24,
0,BoneVRepeat,-64,371,15,0,360,10,24,
1.5,JMPABS,RndAttack,,,,,,,
0,:Attack4Other,,,,,,,,
0,HeartTeleport,149,376,,,,,,
0,BoneVRepeat,440,331,55,2,360,11,24,
0,BoneVRepeat,704,371,15,2,360,10,24,
1.5,JMPABS,RndAttack,,,,,,,
0,:Attack5,,,,,,,,
0,CombatZoneResizeInstant,121,276,526,391,,,,
0,HeartMode,1,,,,,,,
0,HeartTeleport,330,304,,,,,,
0,Platform,309,314,41,0,0,,,
0,Platform,309,354,41,0,0,,,
0,BoneVRepeat,121,364,30,2,0,25,16,
0,RND,Side,2,,,,,,
0,JMPZ,Attack5Other,$Side,,,,,,
0,BoneV,521,280,35,2,240,,,
0,BoneV,1,319,65,0,240,,,
1.5,JMPABS,RndAttack,,,,,,,
0,:Attack5Other,,,,,,,,
0,BoneV,119,280,35,0,240,,,
0,BoneV,639,319,65,2,240,,,
1.5,JMPABS,RndAttack,,,,,,,
0,:Attack6,,,,,,,,
0,CombatZoneResizeInstant,241,226,406,391,,,,
0,HeartMode,0,,,,,,,
0,HeartTeleport,320,304,,,,,,
0,RND,Rot,2,,,,,,
0,JMPZ,Attack6Other,$Rot,,,,,,
0,GasterBlaster,1,191,306,191,306,0,0.6,0.26666
0,GasterBlaster,1,321,166,321,166,90,0.6,0.26666
0,GasterBlaster,1,449,306,449,306,180,0.6,0.26666
0,GasterBlaster,1,321,446,321,446,270,0.6,0.26666
1.2,JMPABS,RndAttack,,,,,,,
0,:Attack6Other,,,,,,,,
0,GasterBlaster,1,191,176,191,176,45,0.66666,0.26666
0,GasterBlaster,1,451,176,451,176,135,0.66666,0.26666
0,GasterBlaster,1,451,436,451,436,225,0.66666,0.26666
0,GasterBlaster,1,191,436,191,436,315,0.66666,0.26666
1.2,JMPABS,RndAttack,,,,,,,
0,:Attack7,,,,,,,,
0,CombatZoneResizeInstant,179,226,404,391,,,,
0,HeartMode,0,,,,,,,
0,RND,Side,2,,,,,,
0,JMPZ,Attack7Other,$Side,,,,,,
0,HeartTeleport,382,304,,,,,,
0,SineBones,16,-20,300,55,,,,
1.7,JMPABS,RndAttack,,,,,,,
0,:Attack7Other,,,,,,,,
0,HeartTeleport,267,304,,,,,,
0,SineBones,16,20,300,55,,,,
1.7,JMPABS,RndAttack,,,,,,,
0,:Attack8,,,,,,,,
0,CombatZoneResizeInstant,121,276,526,391,,,,
0,HeartMode,1,,,,,,,
0,RND,Side,2,,,,,,
0,JMPZ,Attack8Other,$Side,,,,,,
0,HeartTeleport,489,376,,,,,,
0,BoneVRepeat,345,364,20,0,120,6,76,
0,BoneVRepeat,297,280,82,2,120,6,76,
1.9,JMPABS,RndAttack,,,,,,,
0,:Attack8Other,,,,,,,,
0,HeartTeleport,168,376,,,,,,
0,BoneVRepeat,297,364,20,2,120,6,76,
0,BoneVRepeat,345,280,82,0,120,6,76,
1.9,JMPABS,RndAttack,,,,,,,
0,:End,,,,,,,,
0,CombatZoneResizeInstant,33,251,608,391,,,,
0,EndAttack,,,,,,,,
